Frame,X position (pixels),Y position (pixels),Intensity,Fit Radius
1,135.1,75.96,10191,1.2678
1,198.9,92.704,22537,0.87646
1,143.03,131.72,8016.9,0.83935
1,54.684,146.51,17084,1.6143
1,177.39,164.01,11523,1.7256
1,162.11,239.32,11415,1.4605
1,185.05,55.053,12399,1.0002
1,173.86,82.187,12800,0.82435
1,148.68,86.248,16250,0.91592
1,127.94,89.617,14327,0.83411
1,143.59,93.183,11343,0.82084
1,152.25,95.486,12893,0.73243
1,184.95,98.955,10990,1.1507
1,168.98,110.24,15694,1.1469
1,146.52,116.09,15956,1.2272
1,170.09,119.91,28190,1.0715
1,105.52,128.85,13428,0.72522
1,76.826,154.93,10878,0.98294
1,154.65,166.46,17543,0.71085
1,157.43,176.35,11179,0.56027
1,150.44,181.77,14996,0.90227
1,178.24,134.9,14167,2.3273
1,104.41,150.25,14117,1.962
1,173.76,153.42,8645.4,1.31
1,104.78,158.58,8775.1,1.7253
1,112.76,184.61,8506.1,1.7209
1,142.03,65.485,14493,2.0666
1,133.12,123.92,3757.4,0.62985
1,153.8,48.414,12771,2.4835
1,143.86,66.988,11898,0.72466
1,111.55,83.202,10338,0.41268
1,187.46,92.305,10241,0.69986
1,136.02,140.39,8209.5,1.3423
1,147.76,49.701,6811.2,0.87968
1,201.58,89.208,8225.1,1.075
1,128.31,97.483,12053,2.9036
1,90.858,114.27,14299,2.0414
2,198.9,92.498,20245,1.0283
2,143.54,66.912,17044,0.84421
2,135.47,75.669,12811,1.1784
2,112.84,84.208,14211,1.5302
2,91.945,113.83,15678,0.86927
2,146.58,116.15,16109,1.354
2,170.1,119.81,19004,1.0238
2,54.719,146.49,13421,1.5457
2,146.33,182.11,14601,0.96437
2,140.14,183.16,12023,1.4113
2,184.89,55.181,8262.2,0.58936
2,132.71,67.16,16044,0.94128
2,148.63,79.465,11407,0.97585
2,187.5,92.052,12395,0.78433
2,152.14,95.273,14222,0.92586
2,183.46,108.85,17492,1.3017
2,105.42,128.82,12268,0.62429
2,77.039,154.73,6130.1,0.48347
2,178.12,163.05,8836,1.1978
2,154.54,166.21,13518,0.92049
2,119.37,183.67,18397,0.7512
2,201.81,89.375,12192,0.85949
2,150.3,182.01,12235,1.1508
2,38.655,112.76,10224,2.3201
2,133.39,125.16,13838,1.8241
2,104.29,149.97,17668,2.6443
2,104.74,158.46,7651.3,1.3656
2,163.42,64.257,9301.9,0.70874
2,99.755,127.17,10569,0.82563
2,111,82.876,6119.4,0.53194
2,183.54,47.308,4116.4,0.85274
2,147.67,49.377,7124.5,0.74546
2,173.88,82.131,11218,1.2891
2,138.83,87.726,7766,0.67062
2,128.04,89.561,9410.4,0.78833
2,184.57,98.572,7648.1,1.4657
2,114.96,99.702,7655,0.9376
2,147.85,103.54,9510.2,1.2065
2,147.37,159,7392.7,0.6268
2,157.35,176.49,8824,1.0912
2,149.13,86.38,7058.8,1.0431
2,133.6,68.083,9680.6,0.86152
2,181.69,82.954,11120,2.8564
2,104.51,100.83,8158.7,2.262
3,119.37,183.48,12795,0.70308
3,111.6,83.404,11335,1.2263
3,170.27,120.05,22990,1.1723
3,176.47,144.11,14025,1.0928
3,177.77,163.27,9682.9,0.99925
3,185.15,54.582,15400,1.0878
3,132.79,66.928,15049,0.96272
3,143.95,67.114,28449,0.87996
3,67.238,81.502,9837.2,1.0705
3,195.95,83.707,8628,0.59449
3,148.65,86.021,12002,0.74681
3,127.9,89.543,12083,1.0754
3,199.03,92.546,20326,0.75999
3,169.26,109.87,12001,1.0285
3,158.87,111.44,13303,1.6481
3,154.19,158.27,7570.7,1.1715
3,150.41,181.86,18304,1.0068
3,147.22,101.23,9688,1.8776
3,38.695,113.81,8255.5,2.0543
3,105.46,134.5,19617,2.0751
3,51.194,138.2,22156,1.988
3,104.13,150,13706,2.0745
3,170.78,135.56,6986,1.1971
3,82.759,43.314,6839.1,1.3042
3,54.753,45.726,5405.2,1.0695
3,183.21,82.353,6952.4,0.67503
3,184.99,98.397,8024.1,1.3999
