Frame,X position (pixels),Y position (pixels),Intensity,Fit Radius
1,117.16,12.457,6722.4,1.1
1,91.899,37.411,8157.4,1.1
1,120.02,40.902,7376.5,1.1
1,78.429,45.71,10202,1.1
1,60.089,57.222,7761.4,1.1
1,147.22,73.652,5351.6,1.1
1,38.23,75.048,8268.9,1.1
1,45.241,75.1,8904.1,1.1
1,77.579,76.214,9113.4,1.1
1,72.461,86.887,9742.2,1.1
1,123.48,113.74,9253.3,1.1
1,88.377,166.78,8338.4,1.1
1,77.141,8.0295,5440.7,1.1
2,118.08,56.633,6636.4,1.1
2,88.871,63.15,10027,1.1
2,96.953,72.097,7397.8,1.1
2,31.418,75.751,7438.5,1.1
2,122.67,78.706,10821,1.1
2,97.703,81.095,15139,1.1
2,127.68,85.034,9836.6,1.1
2,123.89,113.97,8976.6,1.1
2,93.142,151.52,15795,1.1
2,76.181,157.37,12197,1.1
2,23.887,20.603,4770.1,1.1
3,88.398,63.619,11526,1.1
3,77.565,75.699,11766,1.1
3,98.461,75.959,10442,1.1
3,97.53,80.987,12140,1.1
3,127.62,84.924,11478,1.1
3,120.29,89.276,8565.1,1.1
3,102.94,109.89,9277.1,1.1
3,123.62,114.14,10685,1.1
3,76.11,157.33,11521,1.1
3,97.087,71.499,10217,1.1
3,117.96,21.266,5274.6,1.1
4,85.694,33.141,7918.3,1.1
4,122.69,79.713,7395.6,1.1
4,92.756,84.855,9239.5,1.1
4,47.995,87.027,7662,1.1
4,120.84,88.545,7544.8,1.1
4,117.47,100.21,9636.7,1.1
4,102.37,115.38,9916.3,1.1
4,39.437,122.47,6088.8,1.1
4,137.38,134.47,11880,1.1
4,117.28,154.35,8819.5,1.1
4,75.992,157.49,9884.1,1.1
4,64.296,38.773,7559.7,1.1
5,55.435,48.566,8129.4,1.1
5,32.197,52.146,6491.4,1.1
5,63.622,65.206,6773.2,1.1
5,97.624,80.55,14195,1.1
5,72.276,87.347,10305,1.1
5,111.36,114.74,9382.1,1.1
5,118.08,116.45,9789.5,1.1
5,137.38,134.94,19641,1.1
5,98.248,148.73,7452.4,1.1
5,95.773,165.63,11567,1.1
5,93.138,151.34,7602.3,1.1
5,43.137,54.272,7638.3,1.1
6,37.339,66.266,8455.2,1.1
6,96.792,72.087,7711,1.1
6,97.542,81.088,10470,1.1
6,117.62,80.808,6501.1,1.1
6,37.167,82.166,6713.6,1.1
6,110.27,110.68,9641.7,1.1
6,98.583,148.62,9451.8,1.1
6,79.088,46.078,12103,1.1
7,128.34,77.805,10313,1.1
7,55.003,79.969,7485.1,1.1
7,97.654,80.957,17415,1.1
7,55.906,85.064,8151.7,1.1
7,119.97,88.911,7973.5,1.1
7,87.334,125.17,9764.7,1.1
7,53.032,150.22,8732.9,1.1
7,85.825,151.84,15716,1.1
7,131.6,22.101,9404.6,1.1
8,107.04,41.019,7902.4,1.1
8,88.049,42.63,7850.8,1.1
8,78.818,45.821,10049,1.1
8,37.777,65.355,6355.9,1.1
8,98.152,80.497,17552,1.1
8,111.27,81.471,9297.3,1.1
8,102.06,119.81,9406.5,1.1
8,87.207,124.94,9115.4,1.1
8,85.894,152.25,14332,1.1
